school,division,school_division,latitude,longitude,10_or_more_absences,half_year_enrollment,rate_chronic_absence,free_reduced_lunch_eligible,eoy_avg_daily_membership,school_level_expenditures_per_pupil_federal,school_level_expenditures_per_pupil_state,division_level_expenditures_per_pupil_federal,division_level_expenditures_per_pupil_state,total_per_pupil_expenditures,total_expenditures,poverty_level,title1_code,percent_inexperienced_teachers,percent_out_of_field_teachers,percent_out_of_field_inexperienced_teachers,percent_econ_disadvantaged,teacher_BA,teacher_MA,teacher_PHD,provisional_percent,sol_pass_rate,percent_female_students,percent_male_students,percent_disabled_students,percent_not_disabled_students
Smithfield Middle,Isle of Wight County Public Schools,Smithfield Middle Isle of Wight County Public Schools,36.943886,-76.599,189,624,30.29,33.1,624.71,179,6593,690,3907,11369,7102151,Medium Poverty,Non-Title I,2.2,15.6,2.2,0.328525641,36,53,0,2.2,69.4,0.4679487179,0.5320512821,0.1314102564,0.8685897436
Smithland Elementary,Harrisonburg City Public Schools,Smithland Elementary Harrisonburg City Public Schools,38.440189,-78.835941,167,518,32.24,83.8,797.97,647,6679,625,3535,11487,9165905,High Poverty,Title I,0,0,0,0.5714285714,44,56,0,1.8,37.5,0.4829329962,0.5170670038,0.1378002528,0.8621997472
Snow Creek Elementary,Franklin County Public Schools,Snow Creek Elementary Franklin County Public Schools,36.833848,-79.754726,17,190,8.95,63,205.44,2042,9523,55,3463,15083,3098575,Medium Poverty,Title I,0,0,0,0.5291262136,25,75,0,4.3,79.25,0.4563106796,0.5436893204,0.1601941748,0.8398058252
Snowville Elementary,Pulaski County Public Schools,Snowville Elementary Pulaski County Public Schools,37.023302,-80.592691,20,185,10.81,79.2,203.4,450,7528,251,3707,11936,2427740,Medium Poverty,Non-Title I,8,0,0,0.3743842365,48,41,4,0,72.75,0.4827586207,0.5172413793,0.1231527094,0.8768472906
Sonnie Penn Elementary,Prince William County Public Schools,Sonnie Penn Elementary Prince William County Public Schools,38.673805,-77.368281,82,679,12.08,30.3,692.21,343,9288,571,3640,13841,9581106,Low Poverty,Non-Title I,12.8,6.4,2.1,0.3289855072,30,66,2,6.4,79.5,0.4637681159,0.5362318841,0.152173913,0.847826087
Sontag Elementary,Franklin County Public Schools,Sontag Elementary Franklin County Public Schools,36.926921,-79.840406,34,188,18.09,84.9,219.36,2747,9778,55,3463,16044,3519339,High Poverty,Title I,3.8,3.8,0,0.5251141553,38,55,0,7.7,65.75,0.4794520548,0.5205479452,0.2146118721,0.7853881279
South Anna Elementary,Hanover County Public Schools,South Anna Elementary Hanover County Public Schools,37.761802,-77.659919,32,460,6.96,21.9,475.36,361,9084,66,2256,11767,5593629,Low Poverty,Non-Title I,7.7,0,0,0.2147368421,33,67,0,5.1,74.25,0.5157894737,0.4842105263,0.09894736842,0.9010526316
South Boston Elementary,Halifax County Public Schools,South Boston Elementary Halifax County Public Schools,36.71914,-78.889781,245,603,40.63,84.5,601.21,1004,6576,787,3555,11921,7167108,High Poverty,Title I,10.2,18.6,8.5,0.6360655738,61,36,0,11.9,49.5,0.4655737705,0.5344262295,0.1836065574,0.8163934426
South County High,Fairfax County Public Schools,South County High Fairfax County Public Schools,38.717815,-77.237646,501,2305,21.74,20.7,2297.28,304,9039,694,6054,16091,36966216,Low Poverty,Non-Title I,1.9,10.2,0,0.2492387995,25,73,0,7,77.6,0.4878154917,0.5121845083,0.1439756416,0.8560243584
South County Middle,Fairfax County Public Schools,South County Middle Fairfax County Public Schools,38.721299,-77.244872,105,975,10.77,22.9,974.22,376,10287,694,6054,17411,16961956,Low Poverty,Non-Title I,0,3.7,0,0.2227926078,26,73,1,8.5,81.33333333,0.4897330595,0.5102669405,0.1488706366,0.8511293634
