school,division,school_division,latitude,longitude,10_or_more_absences,half_year_enrollment,rate_chronic_absence,free_reduced_lunch_eligible,eoy_avg_daily_membership,school_level_expenditures_per_pupil_federal,school_level_expenditures_per_pupil_state,division_level_expenditures_per_pupil_federal,division_level_expenditures_per_pupil_state,total_per_pupil_expenditures,total_expenditures,poverty_level,title1_code,percent_inexperienced_teachers,percent_out_of_field_teachers,percent_out_of_field_inexperienced_teachers,percent_econ_disadvantaged,teacher_BA,teacher_MA,teacher_PHD,provisional_percent,sol_pass_rate,percent_female_students,percent_male_students,percent_disabled_students,percent_not_disabled_students
A. Henderson Elementary,Prince William County Public Schools,A. Henderson Elementary Prince William County Public Schools,38.621549,-77.343909,87,805,10.81,25.8,800.97,216,7404,571,3640,11831,9476229,Low Poverty,Non-Title I,18.9,3.8,3.8,0.2741116751,35,62,2,3.8,76.5,0.4771573604,0.5228426396,0.1205583756,0.8794416244
A.G. Richardson Elementary,Culpeper County Public Schools,A.G. Richardson Elementary Culpeper County Public Schools,38.44693,-78.014278,139,508,27.36,40.5,535.93,208,9466,745,2110,12529,6714834,Medium Poverty,Non-Title I,11.5,7.7,3.8,0.3819188192,44,56,0,5.8,69.75,0.5036900369,0.4963099631,0.1697416974,0.8302583026
A.M. Davis Elementary,Chesterfield County Public Schools,A.M. Davis Elementary Chesterfield County Public Schools,37.491286,-77.546349,134,675,19.85,60.9,726.34,682,6510,543,4412,12147,8822645,Medium Poverty,Title I,7.6,0,0,0.5421348315,31,69,0,9.1,53,0.4971910112,0.5028089888,0.1418539326,0.8581460674
A.S. Rhodes Elementary,Warren County Public Schools,A.S. Rhodes Elementary Warren County Public Schools,38.948154,-78.206384,57,249,22.89,37.3,265.24,512,8287,45,2983,11827,3136939,Medium Poverty,Non-Title I,8,4,4,0.3582089552,52,44,0,4,72,0.473880597,0.526119403,0.05597014925,0.9440298507
A.W.E. Bassette Elementary,Hampton City Public Schools,A.W.E. Bassette Elementary Hampton City Public Schools,37.016542,-76.376249,106,462,22.94,91.1,467.86,1540,6746,446,2738,11470,5366257,High Poverty,Title I,6.9,3.4,3.4,0.6,58,32,3,27.6,51.75,0.5053763441,0.4946236559,0.09462365591,0.9053763441
Abb's Valley-Boissevain Elementary,Tazewell County Public Schools,Abb's Valley-Boissevain Elementary Tazewell County Public Schools,37.268908,-81.390939,37,125,29.6,94.6,149.9,1481,7190,587,2979,12237,1834266,High Poverty,Title I,30.8,15.4,15.4,0.5897435897,60,33,0,0,67,0.4935897436,0.5064102564,0.1474358974,0.8525641026
Aberdeen Elementary,Hampton City Public Schools,Aberdeen Elementary Hampton City Public Schools,37.0335,-76.405372,105,465,22.58,91.1,507.99,1154,7056,446,2738,11395,5788445,High Poverty,Title I,6.9,3.4,3.4,0.5430861723,55,32,3,10.3,56.5,0.5150300601,0.4849699399,0.122244489,0.877755511
Abingdon Elementary,Gloucester County Public Schools,Abingdon Elementary Gloucester County Public Schools,37.291765,-76.513489,68,437,15.56,46.1,458.68,824,8609,283,4322,14038,6439097,Medium Poverty,Title I,8.9,2.2,2.2,0.443956044,40,57,0,13.3,71.75,0.5032967033,0.4967032967,0.1384615385,0.8615384615
Abingdon Elementary,Arlington County Public Schools,Abingdon Elementary Arlington County Public Schools,38.839837,-77.096092,79,677,11.67,44.5,713.01,790,13193,968,7589,22540,16071597,Medium Poverty,Title I,3.2,0,0,0.4518413598,30,65,0,9.5,56,0.4390934844,0.5609065156,0.1161473088,0.8838526912
Abingdon Elementary,Washington County Public Schools,Abingdon Elementary Washington County Public Schools,36.713377,-82.0163,56,412,13.59,42.4,438.44,514,8616,656,3308,13095,5741221,Medium Poverty,Title I,4.1,2,2,0.3287981859,55,45,0,0,85.5,0.4648526077,0.5351473923,0.156462585,0.843537415
Abingdon High,Washington County Public Schools,Abingdon High Washington County Public Schools,36.720556,-81.954488,201,795,25.28,38.2,821.62,58,7473,656,3308,11496,9445329,Medium Poverty,Non-Title I,4.2,6.3,0,0.3797909408,44,49,2,8.4,74.75,0.512195122,0.487804878,0.1742160279,0.8257839721
Academy for Discovery at Lakewood,Norfolk City Public Schools,Academy for Discovery at Lakewood Norfolk City Public Schools,36.883534,-76.26294,30,708,4.24,32.7,710.49,860,8244,645,3545,13294,9445025,Medium Poverty,Non-Title I,6.8,8.5,0,0.2559109875,46,51,0,10.2,80,0.5215577191,0.4784422809,0.09179415855,0.9082058414
Accawmacke Elementary,Accomack County Public Schools,Accawmacke Elementary Accomack County Public Schools,37.707554,-75.670358,64,375,17.07,91.1,402.69,1229,8199,588,3206,13223,5324712,High Poverty,Title I,0,5.9,0,0.4852941176,42,53,0,2.9,69.25,0.4950980392,0.5049019608,0.1029411765,0.8970588235
Achievable Dream Academy,Newport News City Public Schools,Achievable Dream Academy Newport News City Public Schools,36.975991,-76.41294,202,612,33.01,76.5,612.65,716,7979,1313,3686,13694,8389735,Medium Poverty,Title I,2.2,4.4,2.2,0.7624584718,44,40,0,8.9,55.5,0.5066445183,0.4933554817,0.06976744186,0.9302325581
Achilles Elementary,Gloucester County Public Schools,Achilles Elementary Gloucester County Public Schools,37.278392,-76.442051,55,408,13.48,46.1,424.17,1220,7353,283,4322,13179,5590134,Medium Poverty,Title I,5.4,0,0,0.3837209302,36,62,0,16.2,73.25,0.5372093023,0.4627906977,0.1674418605,0.8325581395
Acquinton Elementary,King William County Public Schools,Acquinton Elementary King William County Public Schools,37.692811,-77.034772,48,418,11.48,28.7,422.59,811,9000,148,3441,13401,5662972,Low Poverty,Non-Title I,0,2.7,0,0.3576470588,59,38,0,13.5,81.25,0.4964705882,0.5035294118,0.1082352941,0.8917647059
Addison Aerospace Magnet Middle,Roanoke City Public Schools,Addison Aerospace Magnet Middle Roanoke City Public Schools,37.284227,-79.947835,209,607,34.43,100,591.51,1773,8617,796,3859,15045,8899352,High Poverty,Title I,2.7,6.8,0,0.7316239316,44,40,3,23.3,32.8,0.4786324786,0.5213675214,0.2153846154,0.7846153846
Admiral Richard E. Byrd Middle,Frederick County Public Schools,Admiral Richard E. Byrd Middle Frederick County Public Schools,39.124505,-78.14901,148,789,18.76,29.4,795.77,179,10197,136,2885,13398,10661432,Low Poverty,Non-Title I,3.9,2.6,2.6,0.3808933002,40,56,3,9.2,67.2,0.4665012407,0.5334987593,0.1364764268,0.8635235732
Agnor-Hurt Elementary,Albemarle County Public Schools,Agnor-Hurt Elementary Albemarle County Public Schools,38.089642,-78.476912,92,429,21.45,53.2,456.75,1110,11597,471,3799,16977,7754282,Medium Poverty,Title I,6.5,0,0,0.4978070175,40,52,4,2.2,63.25,0.4637362637,0.5362637363,0.1096491228,0.8903508772
Alanton Elementary,Virginia Beach City Public Schools,Alanton Elementary Virginia Beach City Public Schools,36.883055,-76.031474,122,596,20.47,38.9,603.34,1791,12424,0,0,14216,8576856,Medium Poverty,Non-Title I,6.3,0,0,0.49,44,54,2,4.2,75.75,0.4991652755,0.5008347245,0.125,0.875
Albemarle High,Albemarle County Public Schools,Albemarle High Albemarle County Public Schools,38.075561,-78.500006,372,1913,19.45,29.2,1904.17,262,11067,471,3799,15599,29702664,Low Poverty,Non-Title I,4,4.5,1.7,0.2733437663,32,65,1,6.3,62,0.4866840731,0.5133159269,0.1168492436,0.8831507564
Albert Harris Elementary,Martinsville City Public Schools,Albert Harris Elementary Martinsville City Public Schools,36.691691,-79.885525,155,399,38.85,100,397.75,2239,7080,809,4171,14298,5687227,High Poverty,Title I,5.1,5.1,0,0.8337468983,56,34,2,15.4,38.75,0.4615384615,0.5384615385,0.141439206,0.858560794
Albert Hill Middle,Richmond City Public Schools,Albert Hill Middle Richmond City Public Schools,37.562361,-77.481598,111,439,25.28,100,442.09,606,10157,3624,5962,20349,8996035,,,,,,0.5211581292,38,53,2,15.1,48.6,0.4654788419,0.5345211581,0.1870824053,0.8129175947
Albert W. Patrick III Elementary,Hampton City Public Schools,Albert W. Patrick III Elementary Hampton City Public Schools,37.057048,-76.337199,50,360,13.89,91,395.34,1415,7583,446,2738,12182,4815999,High Poverty,Title I,8.3,4.2,4.2,0.5994897959,58,38,0,12.5,59,0.4693877551,0.5306122449,0.137755102,0.862244898
Alberta Smith Elementary,Chesterfield County Public Schools,Alberta Smith Elementary Chesterfield County Public Schools,37.395558,-77.642108,51,609,8.37,22.3,610.14,305,7122,543,4412,12382,7554613,Low Poverty,Non-Title I,4.2,0,0,0.2535885167,48,50,0,4.2,85.5,0.5135566188,0.4864433812,0.1515151515,0.8484848485
Aldie Elementary,Loudoun County Public Schools,Aldie Elementary Loudoun County Public Schools,38.974378,-77.64514,6,105,5.71,13.3,107.54,336,23924,13,2246,26519,2851868,Low Poverty,Non-Title I,0,6.9,0,0.1711711712,17,77,0,6.9,86.75,0.5045045045,0.4954954955,0.1351351351,0.8648648649
Aldrin Elementary,Fairfax County Public Schools,Aldrin Elementary Fairfax County Public Schools,38.979744,-77.337969,66,473,13.95,15.4,500.78,840,14847,694,6054,22436,11235255,Low Poverty,Non-Title I,0,3.8,0,0.1650099404,27,70,2,5.7,82,0.4731610338,0.5268389662,0.2127236581,0.7872763419
Alexandria City High School,Alexandria City Public Schools,Alexandria City High School Alexandria City Public Schools,38.824204,-77.085119,562,4400,12.77,60.1,4289.85,476,14768,945,4703,20891,89620441,Medium Poverty,Non-Title I,0.3,8.9,0.3,,23,70,1,7.2,54.6,,,,
Alfred S. Forrest Elementary,Hampton City Public Schools,Alfred S. Forrest Elementary Hampton City Public Schools,37.041269,-76.425107,115,503,22.86,60.8,500.24,1090,7406,446,2738,11680,5842781,Medium Poverty,Title I,3.6,0,0,0.5305719921,47,53,0,3.6,63.5,0.5049309665,0.4950690335,0.06903353057,0.9309664694
Algonkian Elementary,Loudoun County Public Schools,Algonkian Elementary Loudoun County Public Schools,39.056787,-77.409969,36,455,7.91,11,454.07,820,18336,13,2246,21415,9723994,Low Poverty,Non-Title I,3.4,3.4,0,0.1553610503,25,72,2,6.8,76.5,0.4551422319,0.5448577681,0.1859956236,0.8140043764
Alice West Fleet Elementary,Arlington County Public Schools,Alice West Fleet Elementary Arlington County Public Schools,38.870319,-77.098154,25,538,4.65,29.9,600.87,49,11639,968,7589,20246,12165285,Low Poverty,Non-Title I,5.8,0,0,0.3886986301,26,69,4,15.4,78.25,0.4845890411,0.5154109589,0.1352739726,0.8647260274
Alleghany High,Alleghany Highlands Public Schools,Alleghany High Alleghany Highlands Public Schools,37.789042,-79.908804,212,592,35.81,41.1,576.66,311,7581,251,4478,12620,7277507,Medium Poverty,Non-Title I,12.2,8.2,0,,51,47,0,14.3,63,,,,
Altavista Elementary,Campbell County Public Schools,Altavista Elementary Campbell County Public Schools,37.14439,-79.296047,62,456,13.6,62.4,491.74,1136,6935,654,3352,12076,5938358,Medium Poverty,Title I,0,5.9,0,0.5979591837,53,44,0,0,70.5,0.5020408163,0.4979591837,0.09591836735,0.9040816327
Altavista High,Campbell County Public Schools,Altavista High Campbell County Public Schools,37.109507,-79.295273,171,699,24.46,50,685.62,486,6923,654,3352,11414,7825450,Medium Poverty,Non-Title I,0,7.7,0,0.4814814815,53,45,0,5.8,56.4,0.49002849,0.50997151,0.141025641,0.858974359
Amelia County Elementary,Amelia County Public Schools,Amelia County Elementary Amelia County Public Schools,37.330802,-77.984839,149,674,22.11,57.4,736.41,973,6495,340,3926,11733,8640472,Medium Poverty,Title I,7.1,0,0,0.5168690958,53,45,2,1.8,52.75,0.4574898785,0.5425101215,0.1106612686,0.8893387314
Amelia County High,Amelia County Public Schools,Amelia County High Amelia County Public Schools,37.331186,-77.987822,105,495,21.21,44.8,487.18,252,7984,340,3926,12501,6090345,Medium Poverty,Non-Title I,6.5,2.2,2.2,0.4077079108,56,38,4,10.9,66.25,0.5131845842,0.4868154158,0.1338742394,0.8661257606
Amelia County Middle,Amelia County Public Schools,Amelia County Middle Amelia County Public Schools,37.334334,-77.989933,86,400,21.5,56.4,402.06,123,7827,340,3926,12215,4911321,Medium Poverty,Non-Title I,2.3,2.3,0,0.5162094763,49,47,4,11.6,59.4,0.5112219451,0.4887780549,0.1197007481,0.8802992519
Amelia Street Special Education,Richmond City Public Schools,Amelia Street Special Education Richmond City Public Schools,37.53902,-77.470933,16,29,55.17,100,27.18,754,76951,3624,5962,87291,2372570,,,,,,1,60,20,20,25,7,0.3333333333,0.6666666667,,
Amelon Elementary,Amherst County Public Schools,Amelon Elementary Amherst County Public Schools,37.469768,-79.119363,78,404,19.31,53,433.02,1551,7210,329,3183,12273,5314523,Medium Poverty,Title I,9.8,2.4,0,0.5184331797,45,52,0,2.4,55.25,0.4331797235,0.5668202765,0.1474654378,0.8525345622
Amherst County High,Amherst County Public Schools,Amherst County High Amherst County Public Schools,37.569983,-79.058491,528,1205,43.82,41.4,1195.42,631,8592,329,3183,12735,15223809,Medium Poverty,Non-Title I,7.3,5.2,1,0.5373870173,45,47,2,8.3,62.2,0.4889071487,0.5110928513,0.1265406738,0.8734593262
Amherst Elementary,Amherst County Public Schools,Amherst Elementary Amherst County Public Schools,37.587475,-79.045346,51,229,22.27,46,233.49,1310,9429,329,3183,14251,3327421,Medium Poverty,Title I,0,0,0,0.4506437768,42,48,0,0,77.75,0.4892703863,0.5107296137,0.1287553648,0.8712446352
Amherst Middle,Amherst County Public Schools,Amherst Middle Amherst County Public Schools,37.569626,-79.031851,83,371,22.37,47.7,370.69,304,8642,329,3183,12458,4618042,Medium Poverty,Non-Title I,2.4,2.4,0,0.5582010582,59,39,0,7.3,64.4,0.544973545,0.455026455,0.1296296296,0.8703703704
Andrew G. Wright Middle,Stafford County Public Schools,Andrew G. Wright Middle Stafford County Public Schools,38.474378,-77.480864,109,894,12.19,29.1,856.98,377,7963,237,3487,12064,10338962,Low Poverty,Non-Title I,6.3,19,6.3,0.2559188275,33,56,0,4.8,60.2,0.4841986456,0.5158013544,0.122886133,0.877113867
Andrew Lewis Middle,Salem City Public Schools,Andrew Lewis Middle Salem City Public Schools,37.286234,-80.05188,140,872,16.06,40.5,875.44,651,8239,511,3657,13059,11432109,Medium Poverty,Non-Title I,0,2.9,0,0.4272829763,45,51,1,4.4,70.4,0.4554678692,0.5445321308,0.1612175874,0.8387824126
Annandale High,Fairfax County Public Schools,Annandale High Fairfax County Public Schools,38.822237,-77.207361,604,2251,26.83,60.7,2248.15,437,10746,694,6054,17932,40312946,Medium Poverty,Non-Title I,4.6,11.7,1,0.6681455191,25,72,1,10.2,66.75,0.4651575677,0.5348424323,0.1756876664,0.8243123336
Annandale Terrace Elementary,Fairfax County Public Schools,Annandale Terrace Elementary Fairfax County Public Schools,38.827288,-77.208096,129,560,23.04,82.6,615.53,1358,12019,694,6054,20125,12387754,High Poverty,Title I,7.1,0,0,0.7449768161,26,74,0,4.3,42.33333333,0.4899536321,0.5100463679,0.1452859351,0.8547140649
Anne E. Moncure Elementary,Stafford County Public Schools,Anne E. Moncure Elementary Stafford County Public Schools,38.474806,-77.415255,134,861,15.56,61.7,840.64,732,8443,237,3487,12898,10842776,Medium Poverty,Title I,10.2,14.3,6.1,0.5559440559,38,54,0,8.2,52,0.4801864802,0.5198135198,0.08974358974,0.9102564103
Anthony Burns Elementary,Stafford County Public Schools,Anthony Burns Elementary Stafford County Public Schools,38.439242,-77.415941,103,704,14.63,42.3,683.54,647,8120,237,3487,12490,8537655,Medium Poverty,Title I,6.4,19.1,2.1,0.3735795455,47,45,0,10.6,62.75,0.4985795455,0.5014204545,0.1264204545,0.8735795455
Antietam Elementary,Prince William County Public Schools,Antietam Elementary Prince William County Public Schools,38.693781,-77.297987,160,735,21.77,38.9,771.17,416,8555,571,3640,13182,10165391,Medium Poverty,Non-Title I,10.3,5.2,5.2,0.4388020833,43,50,3,8.6,59.75,0.4765625,0.5234375,0.1276041667,0.8723958333
Apple Pie Ridge Elementary,Frederick County Public Schools,Apple Pie Ridge Elementary Frederick County Public Schools,39.214832,-78.179703,68,404,16.83,41.7,423.27,583,11505,136,2885,15110,6395499,Medium Poverty,Title I,2.4,2.4,0,0.5,53,47,0,14.6,56,0.4834123223,0.5165876777,0.172985782,0.827014218
Appomattox County High,Appomattox County Public Schools,Appomattox County High Appomattox County Public Schools,37.34485,-78.82617,176,696,25.29,41.4,685.16,451,7341,175,2993,10960,7509315,Medium Poverty,Non-Title I,5.4,14.9,4.1,0.3879310345,49,43,3,6.8,77,0.5114942529,0.4885057471,0.09770114943,0.9022988506
Appomattox Elementary,Appomattox County Public Schools,Appomattox Elementary Appomattox County Public Schools,37.352366,-78.838052,49,501,9.78,50.7,499.37,1086,7094,175,2993,11347,5666393,Medium Poverty,Title I,6.4,8.5,2.1,0.4650698603,55,39,2,2.1,69.75,0.4630738523,0.5369261477,0.1077844311,0.8922155689
Appomattox Middle,Appomattox County Public Schools,Appomattox Middle Appomattox County Public Schools,37.355783,-78.825354,100,540,18.52,52.8,540.85,585,6758,175,2993,10511,5684735,Medium Poverty,Non-Title I,5.2,10.3,0,0.5064456722,53,43,3,8.6,63.8,0.5340699816,0.4659300184,0.09760589319,0.9023941068
Arcadia High,Accomack County Public Schools,Arcadia High Accomack County Public Schools,37.925302,-75.550169,159,677,23.49,91.1,676.58,405,7048,588,3206,11247,7609411,High Poverty,Non-Title I,9.8,15.7,3.9,0.3828238719,47,39,4,15.7,61.6,0.4701601164,0.5298398836,0.1295487627,0.8704512373
Archer Elementary,Fairfax County Public Schools,Archer Elementary Fairfax County Public Schools,38.898902,-77.277626,26,507,5.13,9.9,509.59,698,10379,694,6054,17824,9083184,Low Poverty,Non-Title I,4.5,0,0,0.09803921569,22,74,0,2.3,90.66666667,0.4666666667,0.5333333333,0.131372549,0.868627451
Arcola Elementary,Loudoun County Public Schools,Arcola Elementary Loudoun County Public Schools,38.936918,-77.559666,140,966,14.49,10.2,962.75,398,14385,13,2246,17042,16406842,Low Poverty,Non-Title I,3.3,1.1,0,0.1491596639,21,77,1,3.3,73.5,0.4821428571,0.5178571429,0.09768907563,0.9023109244
Arlington Community High,Arlington County Public Schools,Arlington Community High Arlington County Public Schools,38.865259,-77.087997,120,188,63.83,22.8,190.67,10,143,968,7589,8711,1660871,Low Poverty,Non-Title I,0,3.6,0,0.2033898305,7,87,7,3.6,75,0.5,0.5,,1
Arlington Science Focus School,Arlington County Public Schools,Arlington Science Focus School Arlington County Public Schools,38.890094,-77.10276,19,467,4.07,,464.66,23,9603,968,7589,18183,8448730,,,,,,0.1162280702,41,56,0,,90.5,0.4342105263,0.5657894737,0.1096491228,0.8903508772
Arlington Traditional,Arlington County Public Schools,Arlington Traditional Arlington County Public Schools,38.878698,-77.145691,17,614,2.77,30.7,661.97,198,10785,968,7589,19540,12935041,Medium Poverty,Non-Title I,14.9,2.1,2.1,0.3562874251,27,69,0,10.6,92.5,0.4895209581,0.5104790419,0.08233532934,0.9176646707
Armel Elementary,Frederick County Public Schools,Armel Elementary Frederick County Public Schools,39.102501,-78.156124,61,642,9.5,22.7,643.11,339,8782,136,2885,12143,7809048,Low Poverty,Non-Title I,3.9,2,0,0.2511848341,43,55,0,3.9,69.25,0.4786729858,0.5213270142,0.1248025276,0.8751974724
Armstrong Elementary,Hampton City Public Schools,Armstrong Elementary Hampton City Public Schools,37.009718,-76.364555,39,268,14.55,29.5,267.03,525,8716,446,2738,12426,3318004,Low Poverty,Non-Title I,0,0,0,0.2443609023,52,48,0,15.8,87.75,0.5563909774,0.4436090226,0.1015037594,0.8984962406
Armstrong Elementary,Fairfax County Public Schools,Armstrong Elementary Fairfax County Public Schools,38.980093,-77.35854,46,362,12.71,15.2,359.63,787,16271,694,6054,23806,8561285,Low Poverty,Non-Title I,0,0,0,0.1516853933,22,76,0,4.8,76.66666667,0.4213483146,0.5786516854,0.2696629213,0.7303370787
Arrowhead Elementary,Virginia Beach City Public Schools,Arrowhead Elementary Virginia Beach City Public Schools,36.831813,-76.18657,63,467,13.49,49.8,519.12,1961,11496,0,0,13457,6985770,Medium Poverty,Non-Title I,6.4,4.3,0,0.5183044316,42,56,2,10.6,77.75,0.4951830443,0.5048169557,0.1541425819,0.8458574181
Arthur R. Ware Elementary,Staunton City Public Schools,Arthur R. Ware Elementary Staunton City Public Schools,38.160958,-79.098444,98,396,24.75,74.5,393.53,1244,7818,1308,3745,14115,5554671,Medium Poverty,Title I,3.1,3.1,0,0.3316326531,53,41,0,3.1,64.66666667,0.4489795918,0.5510204082,0.1020408163,0.8979591837
Ashburn Elementary,Loudoun County Public Schools,Ashburn Elementary Loudoun County Public Schools,39.05194,-77.476965,46,505,9.11,14.3,521.56,380,16049,13,2246,18688,9746726,Low Poverty,Non-Title I,3.5,0,0,0.2131782946,19,80,0,3.5,85,0.4612403101,0.5387596899,0.1182170543,0.8817829457
Ashland Elementary,Prince William County Public Schools,Ashland Elementary Prince William County Public Schools,38.6231,-77.394271,76,773,9.83,13.4,791.63,299,8009,571,3640,12520,9910872,Low Poverty,Non-Title I,13.5,5.8,5.8,0.1530612245,46,52,0,9.6,80.25,0.4712643678,0.5287356322,0.1301020408,0.8698979592
Ashlawn Elementary,Arlington County Public Schools,Ashlawn Elementary Arlington County Public Schools,38.87323,-77.13608,15,525,2.86,15.7,542.68,0,13882,968,7589,22439,12177285,Low Poverty,Non-Title I,2,0,0,0.1814814815,18,80,0,2,88,0.4481481481,0.5518518519,0.1259259259,0.8740740741
Atkins Elementary,Smyth County Public Schools,Atkins Elementary Smyth County Public Schools,36.868044,-81.41926,43,161,26.71,75.8,175.89,1409,7582,591,2766,12349,2172062,Medium Poverty,Title I,4.8,0,0,0.710982659,59,32,5,0,59.75,0.4624277457,0.5375722543,0.2138728324,0.7861271676
Atlee High,Hanover County Public Schools,Atlee High Hanover County Public Schools,37.664675,-77.410293,92,1524,6.04,10.8,1498.78,452,7966,66,2256,10740,16096688,Low Poverty,Non-Title I,3.4,4.3,0,0.1700194679,27,69,2,3.4,86,0.4561972745,0.5438027255,0.1226476314,0.8773523686
Auburn Elementary,Montgomery County Public Schools,Auburn Elementary Montgomery County Public Schools,37.060887,-80.445429,50,533,9.38,46.4,556.72,821,7193,175,3854,12043,6704522,Medium Poverty,Title I,1.9,0,0,0.4627949183,55,45,0,1.9,65.25,0.4809437387,0.5190562613,0.0943738657,0.9056261343
Auburn High,Montgomery County Public Schools,Auburn High Montgomery County Public Schools,37.058989,-80.443217,80,365,21.92,34.1,368.41,155,10869,175,3854,15054,5545959,Medium Poverty,Non-Title I,0,2,0,0.3512064343,24,70,2,4,74.8,0.471849866,0.528150134,0.1206434316,0.8793565684
Auburn Middle,Fauquier County Public Schools,Auburn Middle Fauquier County Public Schools,38.737368,-77.715171,60,587,10.22,12.5,584.98,0,8251,641,3870,12761,7465173,Low Poverty,Non-Title I,6.4,4.3,0,0.1023890785,43,53,2,10.6,68,0.4692832765,0.5307167235,0.1296928328,0.8703071672
Auburn Middle,Montgomery County Public Schools,Auburn Middle Montgomery County Public Schools,37.061952,-80.442841,40,288,13.89,47.4,285.99,127,11190,175,3854,15347,4389015,Medium Poverty,Non-Title I,5.3,0,0,0.46875,63,33,3,5.3,59,0.4618055556,0.5381944444,0.1979166667,0.8020833333
Axton Elementary,Henry County Public Schools,Axton Elementary Henry County Public Schools,36.661081,-79.713536,43,341,12.61,88.6,375.78,1108,6449,346,3501,11403,4285034,High Poverty,Title I,3.4,0,0,0.6243386243,63,37,0,0,67.5,0.4920634921,0.5079365079,0.1137566138,0.8862433862
Azalea Gardens Middle,Norfolk City Public Schools,Azalea Gardens Middle Norfolk City Public Schools,36.911407,-76.210987,305,870,35.06,65.2,862.02,835,7043,645,3545,12068,10402858,Medium Poverty,Non-Title I,4.8,11.3,1.6,0.5806451613,31,52,5,11.3,49.2,0.4781105991,0.5218894009,0.1394009217,0.8605990783
Back Creek Elementary,Roanoke County Public Schools,Back Creek Elementary Roanoke County Public Schools,37.19958,-80.07247,19,269,7.06,20.3,284.08,826,9701,193,2984,13705,3893218,Low Poverty,Non-Title I,11.5,0,0,0.2253521127,50,46,0,11.5,88.75,0.4753521127,0.5246478873,0.1971830986,0.8028169014
Bacon District Elementary,Charlotte County Public Schools,Bacon District Elementary Charlotte County Public Schools,36.88845,-78.565541,33,143,23.08,61.9,163.99,2017,7647,957,4363,14984,2457222,,,,,,0.625,,,,,74.5,0.43125,0.56875,0.125,0.875
Bailey Bridge Middle,Chesterfield County Public Schools,Bailey Bridge Middle Chesterfield County Public Schools,37.408296,-77.616729,292,1572,18.58,26.4,1566.22,193,6308,543,4412,11457,17943705,Low Poverty,Non-Title I,15,8,8,0.2797960484,47,49,1,9.7,66.6,0.4665391969,0.5334608031,0.1580624602,0.8419375398
Bailey's Upper Elementary School for the Arts and Sciences,Fairfax County Public Schools,Bailey's Upper Elementary School for the Arts and Sciences Fairfax County Public Schools,38.868554,-77.153551,95,519,18.3,82.6,519.77,1696,11943,694,6054,20388,10597160,High Poverty,Title I,6.5,8.1,0,0.6782273603,28,70,0,6.5,39.33333333,0.4913294798,0.5086705202,0.1483622351,0.8516377649
Baker-Butler Elem,Albemarle County Public Schools,Baker-Butler Elem Albemarle County Public Schools,38.123313,-78.420652,64,673,9.51,25,689.5,341,10217,471,3799,14828,10223944,Low Poverty,Non-Title I,3.2,0,0,0.2375366569,32,68,0,0,65.5,0.5131964809,0.4868035191,0.1173020528,0.8826979472
Baldwin Elementary,Manassas City Public Schools,Baldwin Elementary Manassas City Public Schools,38.749087,-77.46877,95,598,15.89,60,624.89,1115,11822,174,2122,15233,9518779,Medium Poverty,Title I,9.3,7.4,1.9,0.4145234493,35,63,0,1.9,52.66666667,0.4856278366,0.5143721634,0.09833585477,0.9016641452
Baldwin Intermediate,Manassas City Public Schools,Baldwin Intermediate Manassas City Public Schools,38.749087,-77.46877,44,270,16.3,62.4,271.84,820,12038,174,2122,15154,4119402,Medium Poverty,Non-Title I,13,4.3,0,0.4598540146,38,63,0,4.3,40.66666667,0.4562043796,0.5437956204,0.1131386861,0.8868613139
Ball's Bluff Elementary,Loudoun County Public Schools,Ball's Bluff Elementary Loudoun County Public Schools,39.123259,-77.534895,42,470,8.94,21.8,482.63,713,17772,13,2246,20743,10011418,Low Poverty,Non-Title I,1.6,1.6,1.6,0.288981289,19,78,2,3.2,69.25,0.4594594595,0.5405405405,0.1205821206,0.8794178794
Banneker Elementary,Loudoun County Public Schools,Banneker Elementary Loudoun County Public Schools,39.003721,-77.788144,13,181,7.18,28.3,179.92,746,18319,13,2246,21324,3836605,Low Poverty,Non-Title I,3.2,3.2,0,0.2651933702,22,78,0,6.5,56.5,0.4585635359,0.5414364641,0.1215469613,0.8784530387
Barack Obama Elementary,Richmond City Public Schools,Barack Obama Elementary Richmond City Public Schools,37.573762,-77.435852,9,292,3.08,100,283.94,795,10876,3624,5962,21257,6035634,,,,,,0.6376811594,30,70,0,0,55.75,0.5362318841,0.4637681159,0.1050724638,0.8949275362
Barcroft Elementary,Arlington County Public Schools,Barcroft Elementary Arlington County Public Schools,38.861627,-77.107795,52,418,12.44,61.9,457.3,1232,13971,968,7589,23760,10865536,Medium Poverty,Title I,9.3,2.3,2.3,0.5295454545,22,76,0,0,56.75,0.4863636364,0.5136363636,0.1318181818,0.8681818182
Barrett Elementary,Arlington County Public Schools,Barrett Elementary Arlington County Public Schools,38.873151,-77.111201,84,478,17.57,61.4,537.85,874,15048,968,7589,24479,13166083,Medium Poverty,Title I,13.7,3.9,2,0.5928030303,30,64,2,5.9,41.5,0.4648956357,0.5351043643,0.2045454545,0.7954545455
Barron Elementary,Hampton City Public Schools,Barron Elementary Hampton City Public Schools,37.047987,-76.341854,42,341,12.32,40,354.54,501,8481,446,2738,12166,4313319,Medium Poverty,Non-Title I,4.2,0,0,0.364902507,38,62,0,8.3,74,0.4763231198,0.5236768802,0.1337047354,0.8662952646
